id_adresse_restaurant;adresse_restaurant
;58 Rue Jean-Jacques Rousseau, 75001 Paris"
;4 Rue Beethoven, 75016 Paris"
;13 Rue des Beaux Arts, 75006 Paris"
;110 Rue du Faubourg Saint-Honoré, 75008 Paris"
;33 Rue de Clichy, 75009 Paris"
